result_id,retailer,retailer_type,attribute,rule_type,deviation_percent,page_type,verdict,verdict_reason,created_at
"94934480-31d0-4f75-a4b5-7982ddd5f29b","Animed-Direct-UK","web","extract.productNo","condition","1.28","search","anomaly","Standard","2024-05-03T04:31:35.050Z"
"b933a90a-20ea-4ac1-b304-a0cb405335fb","Zooplus-FR","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:35.179Z"
"2b97e709-fadd-41df-bc19-ce3b1cf175b5","BJs-US","web","extract.productNo","condition","1.97","search","anomaly","Standard","2024-05-03T04:31:37.196Z"
"63d70fec-75c2-49cf-b1ff-b02398e51706","Zooplus-BE","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:38.499Z"
"19bfd8af-2edf-4f70-a90c-5810d8263b31","Bitiba-DE","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:38.508Z"
"a47c7470-c9a4-4c96-9ed4-09d3a323d99f","Canadian-Tire-CA","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:38.513Z"
"59d150dc-093c-49cd-882a-4c1960fbd769","Apple-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:38.909Z"
"e586ae13-6b42-4b8f-8284-fcec1a5a595b","Renspets-CA","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:40.306Z"
"aba59ee3-5c45-4d1d-9e12-0a129b72c9b2","Coto-AR","web","extract.promotionText","historic","26.46","detail","anomaly","Standard","2024-05-03T04:31:40.620Z"
"1014db4c-ed08-4020-b9c6-81ff6b402424","Bed-Bath-Beyond-US","web","extract.productNo","condition","9.75","detail","anomaly","Standard","2024-05-03T04:31:40.656Z"
"95b9805f-6c5f-439d-9d64-bca200e09246","Shipt-Meijer-49341-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:40.712Z"
"17f9534d-f067-440f-bb5f-49c9773d7459","Dicks-US","web","extract.productNo","condition","6.65","detail","anomaly","Standard","2024-05-03T04:31:40.778Z"
"78b346c7-ca09-4e25-8e19-9f6d9b4af455","MasOnline-AR","web","extract.promotionText","historic","61.83","detail","anomaly","Standard","2024-05-03T04:31:40.860Z"
"28052c03-e34c-4668-8956-80141e68735c","Williams-Sanoma-US","web","extract.productNo","condition","0.05","detail","anomaly","Standard","2024-05-03T04:31:41.049Z"
"0e3ac099-3c9e-4b89-92ff-258eee66fcff","Coop-UK","web","extract.imageURL","historic","20.05","detail","anomaly","Standard","2024-05-03T04:31:42.570Z"
"0e718ec9-e41e-4977-b714-d62900000fc4","Target-US","web","extract.productNo","condition","1.09","detail","anomaly","Standard","2024-05-03T04:31:42.988Z"
"e9b5d6a4-80b2-40c2-8dac-5a07e05d5bd5","Morrisons-APP-UK","app","extract.imageURL","historic","27.16","detail","anomaly","Standard","2024-05-03T04:31:44.711Z"
"5112dc2f-f27f-4600-93c1-91a448df033c","Americanas-BR","web","extract.promotionText","historic","16.62","detail","anomaly","Standard","2024-05-03T04:31:48.415Z"
"655d8d95-79ea-49bd-a0c0-4b49779e1aa0","Shipt-HEB-78414-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:49.889Z"
"3f2e4531-2472-408e-9c06-bb48c0705d7e","Amazon-IN","web","extract.price","historic","71.05","detail","anomaly","Standard","2024-05-03T04:31:50.673Z"
"66b8abc8-4848-491f-89b3-5709862fe3ef","Amazon-IN","web","extract.promotionText","historic","61.84","detail","anomaly","Standard","2024-05-03T04:31:50.674Z"
"b870b346-421e-450c-a1b7-04814604bdca","Glovo-Express-APP-RO","app","extract.promotionText","historic","19.77","detail","anomaly","Standard","2024-05-03T04:31:52.118Z"
"f4996dfe-dc60-437d-b535-6d53fd9bb264","Americanas-BR","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:52.567Z"
"70f26282-fbc6-414a-bbbc-b75515e21008","Sams-Club-US","web","extract.productNo","condition","0.05","detail","anomaly","Standard","2024-05-03T04:31:58.643Z"
"86b0323c-83ca-4edc-9f96-e6dfccce5bb7","SuperZoo-CL","web","extract.promotionText","historic","22.57","detail","anomaly","Standard","2024-05-03T04:32:00.899Z"
"270a9fc2-4962-418f-b4a0-6fa6ab959fd5","Shipt-Target-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:32:06.236Z"
